1622445953866-- 相似度：0.075087(D).jpg
1622445954006-- 相似度：0.663038(T).jpg
1622445954147-- 相似度：0.888673(T).jpg
1622445954291-- 相似度：0.845679(T).jpg
1622445954433-- 相似度：0.853456(T).jpg
1622445954579-- 相似度：0.652885(T).jpg
1622445954715-- 相似度：0.675823(T).jpg
1622445954854-- 相似度：0.738474(T).jpg
1622445954994-- 相似度：0.914011(T).jpg
1622445955139-- 相似度：0.835205(T).jpg
1622445955282-- 相似度：0.778481(T).jpg
1622445956890-- 相似度：0.506349(D).jpg
1622445957033-- 相似度：0.635683(T).jpg
1622445957177-- 相似度：0.551449(T).jpg
1622445957323-- 相似度：0.859609(T).jpg
1622445957469-- 相似度：0.438005(T).jpg
1622445957619-- 相似度：0.623201(T).jpg
1622445957763-- 相似度：0.657017(T).jpg
1622445957905-- 相似度：0.670371(T).jpg
1622445958048-- 相似度：0.719149(T).jpg
1622445958192-- 相似度：0.285295(T).jpg
1622445958333-- 相似度：0.877892(T).jpg
1622445960360-- 相似度：0.749342(D).jpg
1622445960512-- 相似度：0.867694(T).jpg
1622445960653-- 相似度：0.856273(T).jpg
1622445960799-- 相似度：0.515248(T).jpg
1622445960942-- 相似度：0.694294(T).jpg
1622445961082-- 相似度：0.516201(T).jpg
1622445961233-- 相似度：0.733686(T).jpg
1622445961385-- 相似度：0.692695(T).jpg
1622445961529-- 相似度：0.688541(T).jpg
1622445961677-- 相似度：0.789728(T).jpg
1622445961819-- 相似度：0.962922(T).jpg
1622446080779-- 相似度：0.557492(D).jpg
1622446080954-- 相似度：0.708616(T).jpg
1622446081129-- 相似度：0.880779(T).jpg
1622446081310-- 相似度：0.744637(T).jpg
1622446081487-- 相似度：0.759758(T).jpg
1622446081664-- 相似度：0.772539(T).jpg
1622446081852-- 相似度：0.831916(T).jpg
1622446082029-- 相似度：0.696123(T).jpg
1622446082209-- 相似度：0.83864(T).jpg
1622446082388-- 相似度：0.86598(T).jpg
1622446082568-- 相似度：0.589869(T).jpg
1622446084997-- 相似度：0.398739(D).jpg
1622446085164-- 相似度：0.19186(T).jpg
1622446085332-- 相似度：0.983781(T).jpg
1622446085505-- 相似度：0.990478(T).jpg
1622446085672-- 相似度：0.964403(T).jpg
1622446085843-- 相似度：0.978578(T).jpg
1622446086012-- 相似度：0.948071(T).jpg
1622446086181-- 相似度：0.929857(T).jpg
1622446086347-- 相似度：0.986903(T).jpg
1622446086517-- 相似度：0.997863(T).jpg
1622446086685-- 相似度：0.978616(T).jpg
1622446088300-- 相似度：0.061858(D).jpg
1622446088577-- 相似度：0.841398(D).jpg
1622446088749-- 相似度：0.646834(T).jpg
1622446088916-- 相似度：0.569933(T).jpg
1622446089087-- 相似度：0.721258(T).jpg
1622446089256-- 相似度：0.792778(T).jpg
1622446089431-- 相似度：0.853772(T).jpg
1622446089605-- 相似度：0.911615(T).jpg
1622446089777-- 相似度：0.782297(T).jpg
1622446089948-- 相似度：0.796277(T).jpg
1622446090124-- 相似度：0.932695(T).jpg
1622446090293-- 相似度：0.972716(T).jpg
1622446090537-- 相似度：0.962714(D).jpg
1622446090708-- 相似度：0.923501(T).jpg
1622446090882-- 相似度：0.801073(T).jpg
1622446091055-- 相似度：0.832797(T).jpg
1622446092042-- 相似度：0.673742(D).jpg
1622446092214-- 相似度：0.833715(T).jpg
1622446092385-- 相似度：0.764867(T).jpg
1622446092560-- 相似度：0.610189(T).jpg
1622446092731-- 相似度：0.602639(T).jpg
1622446092903-- 相似度：0.552211(T).jpg
1622446093080-- 相似度：0.68162(T).jpg
1622446093252-- 相似度：0.867472(T).jpg
1622446093422-- 相似度：0.930568(T).jpg
1622446093593-- 相似度：0.784479(T).jpg
1622446093761-- 相似度：0.610449(T).jpg
1622446097608-- 相似度：0.819504(D).jpg
1622446097783-- 相似度：0.748949(T).jpg
1622446097957-- 相似度：0.809371(T).jpg
1622446098139-- 相似度：0.847273(T).jpg
1622446098309-- 相似度：0.923545(T).jpg
1622446098482-- 相似度：0.925307(T).jpg
1622446098653-- 相似度：0.306874(T).jpg
1622446105250-- 相似度：0.434848(T).jpg
1622446105419-- 相似度：0.778219(D).jpg
1622446105584-- 相似度：0.455594(T).jpg
1622446105752-- 相似度：0.894663(T).jpg
1622446105924-- 相似度：0.986061(T).jpg
1622446106124-- 相似度：0.987777(T).jpg
1622446106293-- 相似度：0.956438(T).jpg
1622446106461-- 相似度：0.989025(T).jpg
1622446106632-- 相似度：0.913076(T).jpg
1622446106797-- 相似度：0.201811(T).jpg
1622446107314-- 相似度：0.81016(T).jpg
1622446107637-- 相似度：0.950707(D).jpg
1622446107812-- 相似度：0.993076(T).jpg
1622446107992-- 相似度：0.78719(T).jpg
1622446108158-- 相似度：0.911727(T).jpg
1622446108331-- 相似度：0.987735(T).jpg
1622446108500-- 相似度：0.962917(T).jpg
1622446108667-- 相似度：0.989465(T).jpg
1622446108837-- 相似度：0.935542(T).jpg
1622446109003-- 相似度：0.971896(T).jpg
1622446110051-- 相似度：0.887284(D).jpg
1622446110218-- 相似度：0.86932(T).jpg
1622446110387-- 相似度：0.88826(T).jpg
1622446110557-- 相似度：0.897654(T).jpg
1622446110726-- 相似度：0.806396(T).jpg
1622446110895-- 相似度：0.972378(T).jpg
1622446111072-- 相似度：0.983901(T).jpg
1622446111244-- 相似度：0.981582(T).jpg
1622446111411-- 相似度：0.97208(T).jpg
1622446111580-- 相似度：0.961812(T).jpg
1622446111746-- 相似度：0.949701(T).jpg
1622446115956-- 相似度：0.318451(D).jpg
1622446116132-- 相似度：0.892702(T).jpg
1622446116321-- 相似度：0.978182(T).jpg
