1625742520525- 结果：8.50000000E-5(D).jpg-480 新结果：2.9188898042775690000000E-4.jpg
1625742520581- 结果：1.370000000E-4(T).jpg-480 新结果：4.3820018618134780000000E-5.jpg
1625742520633- 结果：3.80000000E-5(T).jpg-480 新结果：1.50398467667400840000000E-4.jpg
1625742520684- 结果：3.50000000E-5(T).jpg-480 新结果：1.60254348884336650000000E-4.jpg
1625742520735- 结果：1.080000000E-4(T).jpg-480 新结果：1.60254348884336650000000E-4.jpg
1625742527863- 结果：5.030000000E-4(D).jpg-480 新结果：7.4334169039502740000000E-4.jpg
1625742528122- 结果：8.10000000E-4(D).jpg-480 新结果：0.001037787995301187.jpg
1625742528176- 结果：6.090000000E-4(T).jpg-480 新结果：0.0017363904044032097.jpg
1625742528227- 结果：7.310000000E-4(T).jpg-480 新结果：0.0011821601074188948.jpg
1625742528277- 结果：0.001025(T).jpg-480 新结果：0.0011821601074188948.jpg
1625742528327- 结果：7.480000000E-4(T).jpg-480 新结果：9.4742304645478730000000E-4.jpg
1625742529773- 结果：0.003079(D).jpg-480 新结果：0.0010160382371395826.jpg
1625742529828- 结果：9.060000000E-4(T).jpg-480 新结果：9.4452413031831380000000E-4.jpg
1625742529878- 结果：9.930000000E-4(T).jpg-480 新结果：0.0015102098695933819.jpg
1625742529934- 结果：0.001655(T).jpg-480 新结果：0.0015102098695933819.jpg
1625742529984- 结果：0.001893(T).jpg-480 新结果：0.00506092794239521.jpg
1625742531156- 结果：0.256223(D).jpg-480 新结果：0.12297525256872177.jpg
1625742531211- 结果：0.074033(T).jpg-480 新结果：0.29842856526374817.jpg
1625742531262- 结果：0.444125(T).jpg-480 新结果：0.29842856526374817.jpg
1625742531313- 结果：0.444125(T).jpg-480 新结果：0.34244710206985474.jpg
1625742531364- 结果：0.339037(T).jpg-480 新结果：0.21426770091056824.jpg
1625742532518- 结果：0.001153(D).jpg-480 新结果：0.0010855627479031682.jpg
1625742532570- 结果：9.560000000E-4(T).jpg-480 新结果：5.1506585441529750000000E-4.jpg
1625742532620- 结果：5.880000000E-4(T).jpg-480 新结果：0.0018203048966825008.jpg
1625742532671- 结果：9.470000000E-4(T).jpg-480 新结果：0.0018203048966825008.jpg
1625742532721- 结果：0.007656(T).jpg-480 新结果：0.0015564844943583012.jpg
1625742533931- 结果：0.014637(D).jpg-480 新结果：0.0015397483948618174.jpg
1625742533989- 结果：0.002907(T).jpg-480 新结果：0.004604212008416653.jpg
1625742534046- 结果：0.002907(T).jpg-480 新结果：0.00451017078012228.jpg
1625742534097- 结果：0.004108(T).jpg-480 新结果：0.0043429164215922356.jpg
1625742534148- 结果：0.004325(T).jpg-480 新结果：0.009063725359737873.jpg
1625742535286- 结果：0.002004(D).jpg-480 新结果：0.004802440758794546.jpg
1625742535342- 结果：0.01681(T).jpg-480 新结果：0.001624329830519855.jpg
1625742535393- 结果：0.001512(T).jpg-480 新结果：0.001624329830519855.jpg
1625742535444- 结果：0.001512(T).jpg-480 新结果：0.004025737755000591.jpg
1625742535495- 结果：0.002747(T).jpg-480 新结果：0.010398524813354015.jpg
1625742536937- 结果：0.178489(D).jpg-480 新结果：0.5208841562271118.jpg
1625742537178- 结果：0.509319(D).jpg-480 新结果：0.6195026636123657.jpg
1625742537448- 结果：0.590491(D).jpg-480 新结果：0.203939288854599.jpg
1625742537508- 结果：0.122563(T).jpg-480 新结果：0.003940684720873833.jpg
1625742537559- 结果：0.0038(T).jpg-480 新结果：1.34879282995825630000000E-5.jpg
1625742537610- 结果：3.00000000E-5(T).jpg-480 新结果：1.34879282995825630000000E-5.jpg
1625742537658- 结果：3.10000000E-5(T).jpg-480 新结果：3.740924148587510000000E-5.jpg
1625742537967- 结果：0.002814(D).jpg-480 新结果：0.002386156003922224.jpg
1625742538028- 结果：0.002896(T).jpg-480 新结果：0.0010227583115920424.jpg
1625742538080- 结果：0.001031(T).jpg-480 新结果：0.001868576044216752.jpg
1625742538130- 结果：0.005864(T).jpg-480 新结果：0.001868576044216752.jpg
1625742538182- 结果：0.004754(T).jpg-480 新结果：0.005483414977788925.jpg
1625742539373- 结果：0.002084(D).jpg-480 新结果：7.1919459151104090000000E-4.jpg
1625742539645- 结果：0.00216(D).jpg-480 新结果：0.0010589906014502048.jpg
1625742539703- 结果：0.001132(T).jpg-480 新结果：8.5192936239764090000000E-4.jpg
1625742539754- 结果：7.980000000E-4(T).jpg-480 新结果：0.004260251764208078.jpg
1625742539804- 结果：0.004131(T).jpg-480 新结果：0.004260251764208078.jpg
1625742539855- 结果：0.006756(T).jpg-480 新结果：0.0070169782266020775.jpg
1625742541426- 结果：0.004342(D).jpg-480 新结果：0.19126874208450317.jpg
1625742541481- 结果：0.119098(T).jpg-480 新结果：0.06227651983499527.jpg
